Fecha,liquidez,fondeo,activos,cartera,solvencia,ICVLF_equal,ICVLF_equal_100,ICVLF_alt_pesos_100,ICVLF_pca_global_100,ICVLF_nucleo_100,ICVLF_pca_interno_100,ICVLF_robust_z_100,nivel_vulnerabilidad
2015-12-01,-0.0976443419810777,1.6199032229082067,-0.12839547448182975,-0.7475520181875773,-0.26113975686109425,0.07703432627932551,63.08591054932903,81.29006446227196,43.807389218210076,100,65.58741100065446,75.78904202989068,Alta
2016-01-01,-0.07006458941728287,1.0015970398245084,-0.27357624383772555,-0.632572557191593,-0.24627355749016122,-0.044177981622450846,57.971753817476014,76.29585828289392,46.18570153346122,93.44389081761219,62.58781650143028,71.94940549096452,Moderada
2016-02-01,-0.12054544669870154,1.2554497820269608,-0.4328128970840157,-0.5276363581968924,-0.12331500288993785,0.010228015431482666,60.26723684971083,77.98163035401934,44.33717187405033,95.70099023501398,64.08806670267168,72.81331603577068,Alta
2016-03-01,-0.16916181855046755,1.253630449265363,-0.5081792146243043,-0.5682638928209055,-0.13732350882550126,-0.025859597111163125,58.744638115174475,76.75742456096832,43.15547851801828,95.14123538225607,62.30490393160743,71.77233615893618,Alta
2016-04-01,-0.040467120568645217,1.355164862356781,-0.7418308721800113,-0.5421647705015982,-0.04626583185486588,-0.0031127465496679236,59.70436704816199,78.3910145855856,42.241638207190746,97.69640662765269,63.282333612786786,73.79324142593057,Alta
2016-05-01,-0.0028617550799789424,1.4875073643085153,-0.6876486831249938,-0.4718729616313163,0.03251154279635262,0.07152710145371578,62.853551217151775,80.84804501207515,43.09372419820664,99.58255344060743,66.06549444401085,75.4271578844923,Alta
2016-06-01,0.08005829399199517,1.3660822419934266,-0.8578911864670253,-0.6646043309784821,-0.04990649333777925,-0.025252294959572954,58.77026124240128,78.6871621408587,41.7401183081493,99.15520932459164,62.885407448336636,74.40376980161192,Alta
2016-07-01,0.13163316851014084,1.3173134499899795,-0.6896969879803481,-0.608817560368676,-0.005081906793438183,0.029070032671531583,61.062214117101625,80.17018321020325,44.3249996989178,99.1863523078588,64.54880894118446,75.92634826226593,Alta
2016-08-01,0.022135751613319085,0.8467960102856514,-0.8113129335261071,-0.6062267477859152,0.004474168280207219,-0.10882675022656893,55.24411055347119,74.33607558761184,44.99969765111979,92.7491242936367,60.20160454469936,71.63877487623157,Moderada
2016-09-01,-0.031728519222514205,0.845462339849679,-0.9276026662929828,-0.6645615877356019,-0.018981791071285593,-0.15948244489454108,53.1068592596271,72.72524936391244,43.30340253944646,92.13651630637854,58.61477514141023,70.17648039234102,Moderada
2016-10-01,0.14639643082808393,0.957097943681527,-0.9173038651221828,-0.6452039512003319,-0.06035715892151721,-0.10387412014688421,55.4530705749479,75.78196109552154,43.703833679711025,95.35239040622292,60.63791811288556,72.92327787018557,Moderada
2016-11-01,0.159110965025903,0.8346544429520022,-0.8889072630592525,-0.7387160831842584,-0.07343820349589505,-0.14145922835230018,53.86728991064513,74.52515985930422,44.41502465178526,94.13457612217388,59.54737309082685,71.99023803566091,Moderada
2016-12-01,0.19785089735706066,0.49872883097977017,-0.8203415632189506,-0.8994133619332371,-0.2318133502602194,-0.25099770941511523,49.24567210613718,71.14725909555061,45.399367037601365,90.83629512016384,56.63229824729914,69.06227030082115,Moderada
2017-01-01,0.2377846261633834,0.6654639719178719,-0.9121976875491472,-0.8343248680184694,-0.1946610152696962,-0.20758699455121152,51.0772451823275,73.01579908403285,44.41266273462887,93.12998574350812,58.07660319400073,70.55400073839162,Moderada
2017-02-01,0.2382850141804697,0.43161515152820673,-0.7203029081247188,-0.747389319645832,0.06915724093940753,-0.14572696422449335,53.687226759317014,73.35059661962764,49.75969579560848,90.54019507030726,60.62578279936292,71.17600422804765,Moderada
2017-03-01,0.34824115377267856,0.548080353642766,-0.9187445400027091,-0.7650352570861108,0.03640856212427573,-0.15020994550981992,53.49808203205299,74.4277260326817,47.817241094614076,93.05310622640002,61.085232508881504,72.36113398571507,Moderada
2017-04-01,0.3494031970771012,0.2663961028672969,-0.9473924251885537,-0.7424425323431282,0.02642207867728899,-0.20952271578199896,50.995573758568746,72.00023108982187,48.967536964802925,89.93976284908406,58.99137808223559,70.5340261218738,Moderada
2017-05-01,0.4371034016007565,0.6113110778394863,-0.7874600508973884,-0.6762527518887904,0.0685668515698989,-0.0693462943552074,56.90985921106432,77.23371975107337,49.69027819496283,94.7410925411326,63.88001212024738,73.75634742749786,Moderada
2017-06-01,0.3550331927017476,0.3593403665243196,-0.6437387089280657,-0.7695666913719497,0.0033346407312328684,-0.13911944006854307,53.96600962161857,74.17309954796005,51.007072890465274,91.03377790078042,61.075710409788876,71.2828078061802,Moderada
2017-07-01,0.38527000298192393,0.5170825321390392,-0.6541485871000483,-0.6040720603537739,0.19253471806170502,-0.03266667885423082,58.45743557342604,77.28508317922984,52.20438138800935,93.12004089205325,64.68337414198058,73.94161903017967,Alta
2017-08-01,0.37207318915778576,0.5077789314665653,-0.5604602873558975,-0.5764207433925355,0.3216884858206304,0.012931915139309691,60.38131905087017,78.10092357326224,54.16353210405268,92.87032263590727,66.16950926511498,74.98864696365935,Alta
2017-09-01,0.31363288949494134,0.375552540665003,-0.5580567917762362,-0.5946778121307799,0.20320319988507884,-0.052069194772398596,57.63880989823313,75.81464757219918,53.41469891036281,90.75423035435992,63.67268055313305,73.01068307066737,Moderada
2017-10-01,0.23295216745243144,0.6027549231326857,-0.5253657598829323,-0.6227573265478932,0.154464249242837,-0.031590349320574265,58.50284777640713,76.63753004738042,51.52397878706653,92.38038410963837,63.640930384270064,73.16918869900563,Alta
2017-11-01,0.32274426282262625,0.7245089479694303,-0.41025811272762,-0.6014821313823261,0.1955271505956933,0.04620802345556077,61.78529556366234,79.55470695039831,52.92801258313928,94.72820433492709,66.30158264563725,75.77618622194332,Alta
2017-12-01,0.23427637916640467,0.32092418717902454,-0.35753753054567505,-0.7653215527835433,0.020683667515657214,-0.10939496989362638,55.220136383803485,73.951446733403,53.10675418505148,89.2672147908575,60.890747457348,71.2194779338867,Moderada
2018-01-01,0.18233007618265734,0.2809462623719898,-0.26541185962987573,-0.6897961397051845,0.0958695136957606,-0.07921242941693049,56.493589923590896,74.1030126280011,54.55471833026438,88.24700434695939,64.76007810595466,73.69039514268908,Moderada
2018-02-01,0.2692564431872652,0.3894919308521314,-0.23946425751688383,-0.603366554406282,0.26968669965392855,0.01712085235403188,60.5580575506712,77.20142104462792,56.459112345399376,90.41642819619146,68.07959977218125,76.353927703883,Alta
2018-03-01,0.27461755417144257,0.36870030639095575,-0.2164970024419258,-0.6313828362295634,0.2604724145308038,0.01118208728434257,60.307490789871174,77.03265035308146,56.68472030760834,90.2451744214002,67.78602079195467,76.42116702859366,Alta
2018-04-01,0.3141404133717574,0.3697648433894408,-0.3453598245013725,-0.579611822456499,0.29982170510203626,0.011751062981072612,60.331496857737235,77.25103641638361,56.21444228535888,90.69562895866198,67.78487990856972,76.37775895234707,Alta
2018-05-01,0.3408646480927814,0.4641290274599372,-0.23595164942713967,-0.5661498291727001,0.23851204103353116,0.04828084759728201,61.872751596154686,78.77812002470154,56.38168570224421,92.03951481394904,68.51826945049169,76.3998777457801,Alta
2018-06-01,0.31000673542698715,0.5856743033967444,-0.1869582270538579,-0.6666194283852821,0.20016268050340405,0.04845321277759914,61.8800239809687,79.04913893929934,55.49576862190856,93.04599805957658,68.45821965437433,76.59362671205615,Alta
2018-07-01,0.41276230225478516,0.4176208448594945,-0.2532799804865843,-0.6350268649856433,0.25761844857738825,0.03993895004388808,61.520792523123184,78.86307305175913,57.01145169764948,92.32129693684175,68.92455114910133,76.95297355057711,Alta
2018-08-01,0.411985914055122,0.4016344713077672,-0.31786424994831186,-0.6033104945424578,0.294639413787066,0.03741701093183712,61.414387553937466,78.67755733558462,56.879682729110556,92.13525735817629,68.82746108638064,76.63947465643732,Alta
2018-09-01,0.43569394876426715,0.22270395772489926,-0.31337448301481174,-0.6353842672056803,0.17043649241030878,-0.02398487026420336,58.82373608047791,76.88894134212345,56.87703407368824,90.41253857249174,66.70463216001237,75.2249783825944,Alta
2018-10-01,0.509015603373014,0.29411942028332055,-0.2899809319649226,-0.624889592327934,0.24193553000744555,0.02604000587418471,60.93437205047005,78.77060763421281,57.85253484118904,92.01888678016694,68.45124216741078,76.91658852701757,Alta
2018-11-01,0.24365447278741967,0.2825805805029833,-0.5273604539461044,-0.6695499722143667,0.2248979633801367,-0.0891554818979863,56.074075357278325,74.05304597360475,53.76306432787184,88.94574438374283,64.25134312611988,73.01491956967921,Moderada
2018-12-01,0.46679506748291916,0.18775342924028132,0.719315762362966,-0.8790172355696984,-0.011705503999174907,0.09662830390345864,63.91261432475288,80.34151775315887,64.56713118994325,90.36981634201491,71.72327210009315,80.6240337017974,Alta
2019-01-01,0.4965904172467183,0.21872168585625093,-0.3857549131037331,-0.8594546060117586,0.12184370801300713,-0.08161074159990306,56.39240098817707,75.90983645157237,55.889922795010854,91.04419422179049,64.3944065395643,74.83583780050851,Moderada
2019-02-01,0.5653989081419439,0.001246027896190114,-0.26278997971435014,-0.7331801165288016,0.2523642633614208,-0.03539217936871936,58.342441996906274,76.59000995156765,59.907266910675496,89.39422880843404,65.68532582756738,75.54138575668095,Alta
2019-03-01,0.6400848764624575,-0.17803307038767746,-0.29773174733976815,-0.7340624656924156,0.21352169030254944,-0.07124414333097086,56.82978568319036,75.64705820951686,60.68698960659493,88.23341401441185,64.98141675559516,75.12309821145377,Moderada
2019-04-01,0.6302074215087913,-0.34037324634852,-0.1592964175448611,-0.7077549217229856,0.2467135708759199,-0.0661007186463311,57.04679565875361,75.1066350761669,63.02519375983771,86.32207649322801,64.9466370707955,73.79620681767007,Moderada
2019-05-01,0.4827510633713901,-0.16731297355354754,-0.17462371609006572,-0.7505588778376138,0.190117854817855,-0.08392532985839637,56.294744509816525,74.33965482779732,60.437842637645595,86.60623858809795,63.986789809583875,72.76414243091278,Moderada
2019-06-01,0.2165858869945869,-0.18026252275676807,-0.18136080266749136,-0.6815823322024641,0.17990439749371984,-0.12934307462768335,54.37849137366097,71.36674745136924,58.65541498907336,83.50851598627645,61.94582910861831,69.44661448542372,Moderada
2019-07-01,0.3471241205079653,-0.2938579146659357,-0.4337998897237982,-0.6618680895533703,0.12333586332064748,-0.18381318202289829,52.080303415341334,70.58113166918639,57.40570910721431,83.69655416042644,59.9455570456084,69.78847583740146,Moderada
2019-08-01,0.11063829425045581,-0.13819715808651467,-0.38363140395530454,-0.5707905779957749,0.14960299893979867,-0.16647556936946795,52.811807253529544,69.9046975458663,55.8174867829087,82.79952644318467,60.351942730351126,68.49785804293957,Moderada
2019-09-01,0.009297584571698906,-0.31509185136578916,-0.4347689700853313,-0.5700532650398038,0.019661897899447108,-0.25819092080395567,48.94217808738051,66.52114696173213,54.457820598866824,79.71156290210342,57.186090845031515,65.71191825757673,Moderada
2019-10-01,-0.27929853881818073,-0.20642932353558335,-0.4047334820355516,-0.48539159468511933,0.1227535035756384,-0.25061988709975935,49.26161308251961,64.95743590013358,53.23165189619449,77.71459063690344,57.16547605106713,64.38334825446823,Moderada
2019-11-01,-1.0915145434692406,-0.3583799797706879,-0.46598746571066496,-0.491601098113067,0.061071883319762224,-0.46928224074877967,40.03587052159792,53.530625423867974,47.40195013741203,67.01389811291284,49.367171906948464,53.010737641385035,Baja
2019-12-01,-1.1392150208818639,-0.40919136672757317,-0.3836514907670645,-0.5241670033105482,-0.7075070673971836,-0.6327463898168467,33.13903559745382,50.19624057782176,41.37564167354675,65.92057554395541,43.57542752972311,47.434460167492354,Baja
2020-01-01,0.6893060666707734,-0.6128453690858924,-0.1051419149134566,-0.3762007276846109,0.5418180948836627,0.027387229974095255,60.991213763321966,76.4544667733644,68.38955081002148,83.95397555286743,68.90315863488229,76.42223988099933,Alta
